DEPTH;CAL;DT;GR;NPHI;ILD;RHOB;SP;porosite;K
1151.18372;9.55588;150.16602;48.49414;0.11333;23.91992;1.88500;-.46628;0.204555348300673;1418.01173436656
1151.20007;9.55640;150.23145;48.54395;0.11300;24.00049;1.88500;-.46399;0.201910507835403;1389.46736916499
1151.25000;9.55800;150.43100;48.69600;0.11200;24.24700;1.88500;-.45700;0.201233428880121;1382.21973882705
1151.37036;9.54597;150.39490;49.99902;0.10815;24.46948;1.87585;-.45363;0.198884627738784;1357.26624700434
1151.40002;9.54300;150.38602;50.32031;0.10720;24.52441;1.87360;-.45280;0.199375898130227;1362.46125701232
1151.50000;9.53300;150.35600;51.40200;0.10400;24.70900;1.86600;-.45000;0.199687707846416;1365.76517988632
1151.55713;9.53003;149.91992;52.09277;0.11017;24.65430;1.86326;-.44932;0.200366013938697;1372.97032839665
1151.59998;9.52780;149.59277;52.61035;0.11479;24.61340;1.86120;-.44880;0.200378982064015;1373.10831452678
1151.74475;9.52027;148.48730;54.36035;0.13043;24.47498;1.85425;-.44706;0.201067340265166;1380.44567299705
1151.75000;9.52000;148.44701;54.42400;0.13100;24.47000;1.85400;-.44700;0.202555615572063;1396.39553384705
1151.80005;9.50537;148.48883;54.95020;0.13881;24.24170;1.85480;-.43919;0.20309420204167;1402.19654709207
1151.93335;9.46646;148.60028;56.35156;0.15961;23.63330;1.85693;-.41840;0.206780988449149;1442.31985329845
1152.00000;9.44700;148.65601;57.05300;0.17000;23.32900;1.85800;-.40800;0.209189345369321;1468.91974542472
1152.12122;9.39948;149.32324;56.77808;0.18697;22.12207;1.87401;-.37357;0.210715652701965;1485.93700561539
1152.20007;9.36856;149.75732;56.59912;0.19801;21.33691;1.88441;-.35117;0.217783698652035;1566.35377186862
1152.25000;9.34900;150.03200;56.48600;0.20500;20.84000;1.89100;-.33700;0.229025086469548;1699.71779689137
1152.30811;9.33368;150.73145;55.72754;0.22357;19.95312;1.89867;-.33700;0.240458089447225;1842.2382983161
1152.40002;9.30939;151.83789;54.52637;0.25299;18.55078;1.91081;-.33700;0.241310598913776;1853.14346416639
1152.49316;9.28482;152.95801;53.31055;0.28278;17.12891;1.92310;-.33700;0.24747370715383;1933.12948612329
1152.50000;9.28300;153.03999;53.22100;0.28500;17.02500;1.92400;-.33700;0.251993780968924;1993.07391006655
1152.59998;9.28380;154.46387;51.93848;0.29700;14.74219;1.93719;-.19434;0.256463515155802;2053.4176479356
1152.67480;9.28440;155.53027;50.97852;0.30598;13.03320;1.94708;-.08740;0.254811379733807;2030.98911723558
1152.75000;9.28500;156.59900;50.01400;0.31500;11.31600;1.95700;.02000;0.252984834924426;2006.36172326092
1152.80005;9.28780;156.73438;50.29834;0.31560;10.62891;1.96361;.03421;0.248173822381693;1942.34262746347
1152.85522;9.29089;156.88379;50.61230;0.31626;9.87109;1.97089;.04987;0.245384329656508;1905.7860923315
1153.00000;9.29900;157.27600;51.43500;0.31800;7.88100;1.99000;.09100;0.230390780631049;1716.37604525677
1153.03455;9.30798;157.14600;52.36133;0.31966;7.59863;1.99262;.09100;0.228995533443435;1699.35698621856
1153.20007;9.35101;156.52441;56.79102;0.32760;6.24902;2.00520;.09100;0.225256349619623;1654.25761517855
1153.21399;9.35464;156.47217;57.16211;0.32827;6.13574;2.00626;.09100;0.212903982957889;1510.54988601708
1153.25000;9.36400;156.33701;58.12600;0.33000;5.84200;2.00900;.09100;0.212456789287197;1505.498781816
